pH,EC (µS/cm),HCO3,Cl (mg/L),SO4,Total Hardness,Na (mg/L),F
7.48,148.5,67.1,17.7,null,65,7,0.16
8.14,101.6,48.8,7.1,null,45,3.8,0.1
6.92,226.1,97.6,17.7,null,90,10.6,0.16
6.95,104.8,48.8,10.6,null,45,5.3,0.16
6.87,122.3,48.8,14.2,null,50,5.8,0.12
7,87.89,18.3,17.7,null,30,4.1,0.12
6.06,63.99,24.4,7.1,null,25,2.6,0.09
7.35,139.3,61,10.6,null,50,7.3,0.18
7.55,175.6,91.5,7.1,null,80,4.4,0.19
7.05,109.5,42.7,17.7,null,50,5.1,0.18
7.09,190,85.4,17.8,null,80,5.3,0.27
7.83,371,189.1,21,null,25,80.6,0.05
7.604,110.9,109.9,7.1,null,95,5.4,0.36
7.568,150.7,146.5,14.2,null,115,11.8,0.26
8.025,214.3,164.8,24.8,null,155,16.5,0.42
7.87,153.2,42.7,28.4,null,85,11.5,0.12
8.008,432.6,305.2,67.4,null,245,60,0.53
7.996,195.5,207.6,17.7,null,170,23,0.47
7.784,177.8,79.4,28.4,null,65,16.2,0.36
7.596,62.32,128.2,10.6,null,105,12,0.38
7.654,237.5,122.1,24.8,null,100,20.4,0.38
8.28,382.6,170.9,46.1,null,150,26.3,0.08
7.143,213.9,183.1,17.7,null,145,17.4,0.1
7.574,98.35,140.4,7.1,null,75,18.8,0.56
7.276,39.09,48.8,17.7,null,30,18.8,0.38
6.806,72.38,73.3,10.6,null,60,6.9,0.09
6.526,13.12,24.4,7.1,null,15,3.9,0.1
6.416,26.76,30.5,10.6,null,25,5.4,0.07
7.472,16.02,24.4,10.6,null,15,6.9,0.17
6.526,31.62,36.6,10.6,null,25,7.2,0.08
7.533,154,109.9,24.8,null,80,25.8,0.4
7.813,146.9,67.2,24.8,null,65,12.2,0.51
8,950,353.8,92.2,null,290,79,0.74
7.88,325,183,7.1,null,140,13,0.39
7.59,895,183,170.2,null,380,37,0.22
7.88,325,183,7.1,null,140,13,0.39
7.7,623,317,28,null,120,96,0.13
8.15,471,268.4,21.3,null,210,23,0.33
5.9,60,31,2,null,24,2,0.07
6.04,100,43,5,null,33,6,0.1
6.5,160,67,16,null,54,10,0.11
6.7,120,31,21,null,46,4,0.09
7.94,228,97,27,null,91,17,1.47
8.05,109,45,14,null,40,9,0.08
6.76,126,32,12,null,34,11,0.7
7.1,110,49,7,null,43,3,0.06
7.2,180,55,23,null,51,13,0.06
7.1,110,49,5,null,41,6,0.08
7.86,478,226,32,null,200,17,0.23
8.12,311,159,12,null,125,13,1.03
7.85,360,128,35,null,140,18,0.6
7.98,457,195,50,null,220,2,0.11
8.12,329,134,25,null,140,11,0.36
8.08,425,195,35,null,165,20,0.15
8,160,78,19,null,59,14,0.1
7.93,280,110,30,null,130,2,0.18
8.07,335,116,32,null,140,14,1.67
7.45,250,91,22,null,91,15,0.34
7.41,149,61,14.2,null,80,null,null
5.92,61,42.7,10.7,null,40,5.7,0.65
6.23,122,57,8,null,45,5.9,0.88
6.49,72,30.5,6,null,25,6.7,null
6.49,78,42.7,17.8,null,45,6.2,0.99
6.62,134,73.2,14.2,null,65,4.2,0.46
7.01,96,42.7,6,null,35,5.4,0.43
6.44,83,40,8,null,30,6.8,0.72
6.05,34,29,6,null,30,2.6,0.9
7.2,73,24.4,17.8,null,30,6.8,0.35
6.39,92,18.3,21.3,null,40,9,0.41
6.68,104,65,14.2,null,60,8.7,0.49
7.1,98,36.6,17.8,null,40,6.3,0.67
7.1,116,69,7.1,null,50,7.4,0.39
7.01,113,61,10.7,null,55,3.4,0.59
6.17,92,51,10,null,50,5.8,0.2
6.04,64,37,4.5,null,20,7,0.41
7.68,72,42.7,3.6,null,30,3.7,0.5
6.5,33,24.4,9,null,25,3.2,null
6.86,44,24.4,7,null,25,3.4,0.38
6.56,115,54.9,14.2,null,35,14,0.22
6.57,108,42.7,17.8,null,50,5.2,0.87
7.11,251,109,17,null,65,27,0.3
6.37,105,30.5,20,null,30,11.7,0.31
6.83,76,33,9,null,30,4.2,0.64
7.68,120,36.6,14.2,null,55,7.5,0.12
7,90,25,14,null,25,8.5,0.27
7.06,90,25,14,null,25,9.9,null
7.01,110,18,25,null,35,7.7,null
7.1,130,49,11,null,45,7.9,null
6.73,170,80,14,null,51,14.9,null
7.18,60,12,11,null,20,3.6,null
8.26,170,74,11,null,71,6.3,0.45
7.09,110,37,14,null,40,5.7,null
7.2,140,43,21,null,51,9,null
6.76,130,49,14,null,40,10.3,null
7.33,160,31,28,null,51,10.9,null
6.89,150,49,21,null,56,7.9,null
6.93,90,31,11,null,30,5.4,null
6.88,130,43,18,null,45,8,null
7.39,90,31,11,null,30,6.2,null
6.79,90,18,14,null,30,7.1,null
6.68,470,252,14,null,212,8.2,null
6.74,120,37,14,null,35,8.2,null
7.96,1018,647,50,null,230,180,0.48
8.22,468,250,21,null,180,21,0.43
8.05,596,329.5,35.5,null,230,51,0.55
8.04,341,231.9,14.2,null,120,42,0.37
8.02,366,244.1,14.2,null,170,23,0.35
8.1,310,219.7,7.1,null,130,27,0.3
8.18,419,280.7,7.1,null,180,24,0.85
8.28,240,146.4,7.1,null,120,3.1,0.22
7.92,314,231.9,14.2,null,150,27,0.3
8.12,350,256.3,7.1,null,120,45,0.35
8.1,380,183.1,20.2,null,104,38,0.31
7.97,422,280.7,13.5,null,208,20,0.29
8.08,679,377,21,null,230,35,0.41
8.28,410,292.9,6.7,null,156,45,0.45
8.23,223,109.8,16.8,null,83,15,0.3
8.15,510,317.3,13.5,null,208,38,0.35
7.93,490,353.9,13.5,null,198,47,0.32
8.19,543,317,7,null,150,52,0.35
8.05,596,329.5,35.5,null,230,51,0.55
8.1,1012,476,69,null,430,55,0.46
8.2,682,366,42,null,180,90,0.78
8.25,915,537,21,null,380,65,0.3
7.82,605,354,17,null,310,10,0.28
8.1,1070,646,62,null,280,155,0.36
7.9,538,317,21,null,240,18,0.45
8.1,480,366,7,null,190,55,0.44
7.7,815,378,62,null,280,63,0.36
8.05,596,329.5,35.5,null,230,51,0.55
8.12,894,482,36,null,190,112,0.45
8.12,115,61,7.1,null,50,5.5,0.15
7.9,328,183.1,14.2,null,160,7.7,0.2
7.8,818,574,28,null,230,130,0.4
7.86,962,549,48,null,300,108,0.48
7.94,630,330,46,null,220,52,0.5
7.92,453,293,6.7,null,180,35,0.3
7.9,1027,476,83,null,290,120,0.3
7.98,957,574,69,null,210,170,0.48
7.72,1584,818,132,null,400,222,0.45
8.02,1305,708,104,null,360,182,0.05
8.01,927,549,42,null,340,85,0.79
8.12,1512,903,69,null,250,272,2.4
7.85,677,427,14,null,280,48,0.3
8.18,1065,659,18,null,190,175,0.5
8.25,837,299,121,null,180,92,0.34
8.29,693,383,21,null,250,40,0.52
8.12,485,366,14,null,180,62,0.5
8.14,630,439,14,null,210,82,0.52
8.03,564,316,14,null,70,97,0.57
8.24,726,342,57,null,170,88,1
7.96,695,360,35.5,null,200,68,0.42
8.19,689,372,28,null,140,78,0.18
8.17,536,366.1,7.1,null,120,90,0.35
8.08,426,329.5,7.1,null,140,62,0.22
7.95,900,586,21,null,310,95,1.05
8.16,336,244.1,13.5,null,156,30,0.43
7.99,370,259,14,null,140,40,0.33
8.28,609,412,14,null,130,100,0.46
8.26,687,234,84,null,237,48,0.19
7.93,376,204,27,null,184,11,0.23
7.95,1950,353.8,376.3,null,630,150,0.42
8.26,265,146.4,14.2,null,130,6,0.38
8.2,1069,494,113.4,null,270,71,0.46
8.26,1016,524.9,106.4,null,390,84,1.31
7.88,901,416.8,85.1,null,360,59,0.41
7.92,1861,416.8,404.1,null,691,132,0.76
8.25,584,293.3,42.5,null,250,28,1.19
8.24,623,246,60,null,256,29,0.21
8.24,300,142,35,null,134,12,0.76
8.16,513,187,71,null,149,47,0.32
8.14,554,272,35,null,202,36,0.87
8.2,448,210,35,null,144,37,0.52
8.24,422,286,14,null,162,37,0.84
7.95,4269,330,1314,null,410,770,1.3
8.15,1222,268,220,null,230,180,0.77
8.12,500,84,152,null,184,42,0.21
7.94,480,177,54,null,140,45,0.31
8.21,480,224,35,null,158,42,0.25
8.22,436,242,21,null,98,61,0.28
8.22,326,218,14,null,148,23,0.19
8.05,457,202,35,null,98,59,0.19
8.01,361,148,35,null,132,28,0.21
8.19,516,290,21,null,142,62,0.36
8.13,480,266,21,null,178,36,0.34
8.19,510,284,14,null,138,58,0.34
8.08,422,197,35,null,163,27,0.2
8.11,480,228,35,null,144,41,0.23
8.03,465,238,35,null,110,59,0.18
8.26,576,262.4,70.9,null,220,42,1.4
8.05,528,339.6,14.2,null,40,116,0.58
7.92,945,416.8,120.5,null,360,71,0.51
8.18,777,478.6,28.4,null,330,56,0.66
8.19,544,231.6,70.9,null,240,25,1.14
8.13,1134,663.8,49.6,null,170,203,2.07
8.01,470,262.4,28.4,null,150,49,1.38
8.2,702,401.4,42.5,null,340,26,1
7.96,908,524.9,56.7,null,380,66,0.89
8.2,2142,895.4,212.7,null,450,215,2.2
8.26,850,256,107,null,146,130,0.9
8.28,4471,609,1198,null,690,710,1.8
8.27,1040,540.3,85.1,null,430,48,1.35
8.17,608,386,14.2,null,260,39,0.36
8.07,720,478.6,28.4,null,330,36,0.67
7.87,92,24.4,14.2,null,30,9,0.28
8.23,357,170.9,21.3,null,150,8.2,0.51
8.21,278,132,21,null,110,19,0.21
8.04,503,218,56,null,150,51,0.31
8.01,380,198,21,null,144,24,0.41
8.35,505,284,21,null,114,69,0.42
8.08,350,172,21,null,158,12,0.42
8.41,407,224,21,null,128,34,0.38
8.09,480,259,28,null,230,10,0.51
8.1,465,142,88,null,154,42,0.58
8.24,320,146,35,null,88,32,0.36
8.11,392,192,35,null,176,16,0.41
8.23,565,278,42,null,144,62,0.49
8.24,260,142,14,null,116,8,0.34
8.17,244,134,14,null,88,21,0.37
8.2,480,236,35,null,120,52,0.49
8.16,405,222,21,null,98,47,0.48
8.28,406,126,71,null,136,32,0.41
8.26,548,254,54,null,185,41,0.13
7.58,210.2,91.5,24.8,null,75,13.3,0.01
7.12,207.4,85.4,21.3,null,85,10.5,0.02
7.66,340.1,61,53.2,null,100,19.2,0.01
7.82,74.9,30.5,10.6,null,35,1.9,0.06
7.9,311.4,164.7,24.8,null,145,5.3,0.01
8.08,426.2,146.4,49.6,null,135,34.8,0.15
8.11,348.7,176.9,17.7,null,130,21.1,0.06
7.97,212.2,48.8,35.5,null,55,23,0.14
7.97,166.4,61,24.8,null,65,4.9,0.04
7.94,354.5,158.6,24.8,null,120,22.2,0.14
8.25,56.64,30.5,7.1,null,20,4.3,0.51
8.11,79.4,36.6,10.6,null,30,4.6,0.11
7.65,178.3,61,24.8,null,55,12.9,0.01
7.99,224.1,103.7,28.4,null,75,11.4,0.33
7.34,532.4,146.4,88.6,null,115,51,0.01
7.63,214.7,73.2,31.9,null,85,10.3,null
7.38,354,146.4,28.4,null,150,10.6,0.11
7.08,147.6,67.1,17.7,null,50,10.6,null
6.87,213.5,85.4,24.8,null,60,13.2,0.12
8.16,222.5,115.9,17.7,null,115,1.1,0.11
8.04,659.6,311.1,49.6,null,295,21.5,0.06
7.89,473.2,231.8,21.3,null,245,3.6,0.08
7.95,219,91.5,28.4,null,85,11.9,0.12
7.38,434,189.1,35.5,null,145,32.4,0.14
8.2,237.9,79.3,31.9,null,85,12.6,0.91
7.89,473.2,231.8,21.3,null,245,3.6,0.21
7.95,219,91.5,28.4,null,85,11.9,null
8.22,343.3,128.1,42.5,null,100,28.4,0.05
8.19,221.3,79.3,35.5,null,70,17.2,0.18
6.33,571.6,176.9,88.6,null,130,55.4,0.52
7.54,338.3,109.8,46.1,null,120,20.2,0.14
7.95,219,91.5,28.4,null,85,11.9,0.14
7.64,271.7,85.4,35.5,null,100,10.5,0.09
7.64,334,122,35.5,null,45,59.6,0.12
7.75,220,109.8,21.3,null,85,8.3,0.07
7.71,227.3,97.6,24.8,null,95,10.7,0.08
